timestamp,dxy_value,date,datetime,description,dxy_ma_20,dxy_ma_50,dxy_ma_200
1732078800,106.68000030517578,2024-11-19,2024-11-19 23:00:00,U.S. Dollar Index (DXY),105.08249969482422,103.25899993896485,103.94430038452148
1732165200,106.97000122070312,2024-11-20,2024-11-20 23:00:00,U.S. Dollar Index (DXY),105.22799987792969,103.37099990844726,103.95895038604736
1732251600,107.48999786376953,2024-11-21,2024-11-21 23:00:00,U.S. Dollar Index (DXY),105.38949966430664,103.49859985351563,103.97565036773682
1732510800,106.81999969482422,2024-11-24,2024-11-24 23:00:00,U.S. Dollar Index (DXY),105.51449966430664,103.6197998046875,103.98935035705567
1732597200,107.01000213623047,2024-11-25,2024-11-25 23:00:00,U.S. Dollar Index (DXY),105.65099983215332,103.74219985961913,104.0035503768921
1732683600,106.08000183105469,2024-11-26,2024-11-26 23:00:00,U.S. Dollar Index (DXY),105.75550003051758,103.8517999267578,104.009150390625
1732890600,105.73999786376953,2024-11-29,2024-11-29 08:30:00,U.S. Dollar Index (DXY),105.84349975585937,103.95439987182617,104.01425037384033
1733115600,106.44999694824219,2024-12-01,2024-12-01 23:00:00,U.S. Dollar Index (DXY),105.95199966430664,104.06899978637695,104.02500034332276
1733202000,106.37000274658203,2024-12-02,2024-12-02 23:00:00,U.S. Dollar Index (DXY),106.07599983215331,104.1779998779297,104.03535034179687
1733288400,106.33999633789062,2024-12-03,2024-12-03 23:00:00,U.S. Dollar Index (DXY),106.22199974060058,104.29739974975585,104.04665031433106
1733374800,105.70999908447266,2024-12-04,2024-12-04 23:00:00,U.S. Dollar Index (DXY),106.25299987792968,104.39319976806641,104.05515029907227
1733461200,105.97000122070312,2024-12-05,2024-12-05 23:00:00,U.S. Dollar Index (DXY),106.32599983215331,104.5013998413086,104.06520030975342
1733720400,106.1500015258789,2024-12-08,2024-12-08 23:00:00,U.S. Dollar Index (DXY),106.38349990844726,104.61599990844726,104.07625030517578
1733806800,106.4000015258789,2024-12-09,2024-12-09 23:00:00,U.S. Dollar Index (DXY),106.42649993896484,104.7283999633789,104.0891003036499
1733893200,106.70999908447266,2024-12-10,2024-12-10 23:00:00,U.S. Dollar Index (DXY),106.46100006103515,104.83879989624023,104.103500289917
1733979600,106.95999908447266,2024-12-11,2024-12-11 23:00:00,U.S. Dollar Index (DXY),106.48499984741211,104.94439987182618,104.1184002685547
1734066000,107.0,2024-12-12,2024-12-12 23:00:00,U.S. Dollar Index (DXY),106.50149993896484,105.04459991455079,104.13260025024414
1734325200,106.86000061035156,2024-12-15,2024-12-15 23:00:00,U.S. Dollar Index (DXY),106.5099998474121,105.13139999389648,104.14760025024414
1734411600,106.95999908447266,2024-12-16,2024-12-16 23:00:00,U.S. Dollar Index (DXY),106.5439998626709,105.21979995727538,104.16325023651123
1734498000,108.02999877929688,2024-12-17,2024-12-17 23:00:00,U.S. Dollar Index (DXY),106.6349998474121,105.32939987182617,104.18440021514893
1734584400,108.41000366210938,2024-12-18,2024-12-18 23:00:00,U.S. Dollar Index (DXY),106.72150001525878,105.43899993896484,104.20960021972657
1734670800,107.62000274658203,2024-12-19,2024-12-19 23:00:00,U.S. Dollar Index (DXY),106.75400009155274,105.5316000366211,104.23360023498535
1734930000,108.04000091552734,2024-12-22,2024-12-22 23:00:00,U.S. Dollar Index (DXY),106.78150024414063,105.63460006713868,104.26010025024414
1735050600,108.26000213623047,2024-12-24,2024-12-24 08:30:00,U.S. Dollar Index (DXY),106.85350036621094,105.73380004882813,104.28705024719238
1735189200,108.12999725341797,2024-12-25,2024-12-25 23:00:00,U.S. Dollar Index (DXY),106.90950012207031,105.83119995117187,104.31290023803712
1735275600,108.0,2024-12-26,2024-12-26 23:00:00,U.S. Dollar Index (DXY),107.00550003051758,105.91940002441406,104.33895023345947
1735534800,108.12999725341797,2024-12-29,2024-12-29 23:00:00,U.S. Dollar Index (DXY),107.125,106.00539993286132,104.3628002166748
1735621200,108.48999786376953,2024-12-30,2024-12-30 23:00:00,U.S. Dollar Index (DXY),107.22700004577636,106.10539993286133,104.38810020446778
1735794000,109.38999938964844,2025-01-01,2025-01-01 23:00:00,U.S. Dollar Index (DXY),107.37799987792968,106.21299987792969,104.41715019226075
